"PFQ069mQ.Code.or.Value","PFQ069mQ.Value.Description","PFQ069mQ.Count","PFQ069mQ.Cumulative","PFQ069mQ.Skip.to.Item"
"1 to 66","Range of Values",68,68,NA
"77777","Refused",0,68,NA
"99999","Don't know",0,68,NA
".","Missing",9425,9493,NA
