"PUQ110.Code.or.Value","PUQ110.Value.Description","PUQ110.Count","PUQ110.Cumulative","PUQ110.Skip.to.Item"
"1","Yes",458,458,NA
"2","No",6991,7449,NA
"7","Refused",0,7449,NA
"9","Don't know",147,7596,NA
".","Missing",490,8086,NA
