"LBXIF1.Code.or.Value","LBXIF1.Value.Description","LBXIF1.Count","LBXIF1.Cumulative","LBXIF1.Skip.to.Item"
"0.25 to 47.7","Range of Values",8295,8295,NA
".","Missing",1145,9440,NA
