"VTQ231A.Code.or.Value","VTQ231A.Value.Description","VTQ231A.Count","VTQ231A.Cumulative","VTQ231A.Skip.to.Item"
"1","Yes",655,655,NA
"2","No",2220,2875,NA
"7","Refused",0,2875,NA
"9","Don't know",50,2925,NA
".","Missing",469,3394,NA
