"DXXOSBCC.Code.or.Value","DXXOSBCC.Value.Description","DXXOSBCC.Count","DXXOSBCC.Cumulative","DXXOSBCC.Skip.to.Item"
"0","Valid data",2135,2135,NA
"1","Invalid data",1209,3344,NA
".","Missing",364,3708,NA
