"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 120","Range of Values",1679,1679,NA
"666","No response",3,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
