"LBCBR2.Code.or.Value","LBCBR2.Value.Description","LBCBR2.Count","LBCBR2.Cumulative","LBCBR2.Skip.to.Item"
"1.252 to 51.42","Range of Values",284,284,NA
".","Missing",0,284,NA
