"URDCBFLC.Code.or.Value","URDCBFLC.Value.Description","URDCBFLC.Count","URDCBFLC.Cumulative","URDCBFLC.Skip.to.Item"
"0","detectable result",15,15,NA
"1","below detectable limit",3015,3030,NA
".","Missing",122,3152,NA
