"BAQ075.Code.or.Value","BAQ075.Value.Description","BAQ075.Count","BAQ075.Cumulative","BAQ075.Skip.to.Item"
"1","Less than 1 year ago,",194,194,NA
"2","1 to 5 years ago, or",132,326,NA
"3","5 years or more ago?",88,414,NA
"7","Refused",0,414,NA
"9","Don't know",1,415,NA
".","Missing",2770,3185,NA
