"DXXNKBMD.Code.or.Value","DXXNKBMD.Value.Description","DXXNKBMD.Count","DXXNKBMD.Cumulative","DXXNKBMD.Skip.to.Item"
"0.34 to 1.487","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
