"FFQ0013.Code.or.Value","FFQ0013.Value.Description","FFQ0013.Count","FFQ0013.Cumulative","FFQ0013.Skip.to.Item"
1,"Yes",4072,4072,""
2,"No",1690,5762,"FFQ0014"
88,"Blank",249,6011,""
99,"Error",2,6013,""
