"RFXC124.Code.or.Value","RFXC124.Value.Description","RFXC124.Count","RFXC124.Cumulative","RFXC124.Skip.to.Item"
"-3.925 to 5.8","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
