"OPDSD500.Code.or.Value","OPDSD500.Value.Description","OPDSD500.Count","OPDSD500.Cumulative","OPDSD500.Skip.to.Item"
"0","No",2259,2259,NA
"1","Yes",75,2334,NA
".","Missing",600,2934,NA
