"TYXA123.Code.or.Value","TYXA123.Value.Description","TYXA123.Count","TYXA123.Cumulative","TYXA123.Skip.to.Item"
"0.09 to 6.665","Range of Values",8291,8291,NA
".","Missing",178,8469,NA
