"WTMREP45.Code.or.Value","WTMREP45.Value.Description","WTMREP45.Count","WTMREP45.Cumulative","WTMREP45.Skip.to.Item"
"0 to 257748.99083","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
