"DR1MC.Code.or.Value","DR1MC.Value.Description","DR1MC.Count","DR1MC.Cumulative","DR1MC.Skip.to.Item"
"100000 to 207210","Range of Values",3861,3861,NA
"0","No modification",141842,145703,NA
".","Missing",0,145703,NA
