"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.008 to 0.15","Range of Values",3017,3017,NA
".","Missing",249,3266,NA
