"DR2ISFAT.Code.or.Value","DR2ISFAT.Value.Description","DR2ISFAT.Count","DR2ISFAT.Cumulative","DR2ISFAT.Skip.to.Item"
"0 to 71.502","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
