"RFXT034.Code.or.Value","RFXT034.Value.Description","RFXT034.Count","RFXT034.Cumulative","RFXT034.Skip.to.Item"
"283 to 292","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
