"SSMTCNSG.Code.or.Value","SSMTCNSG.Value.Description","SSMTCNSG.Count","SSMTCNSG.Cumulative","SSMTCNSG.Skip.to.Item"
"0 to 2","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
