"SSNFSPSG.Code.or.Value","SSNFSPSG.Value.Description","SSNFSPSG.Count","SSNFSPSG.Cumulative","SSNFSPSG.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
