"MCQ260BA.Code.or.Value","MCQ260BA.Value.Description","MCQ260BA.Count","MCQ260BA.Cumulative","MCQ260BA.Skip.to.Item"
"1","Mother",116,116,"MCQ250C"
"77","Refused",0,116,"MCQ250C"
"99","Don't know",1,117,"MCQ250C"
".","Missing",10353,10470,""
