"OPDSNVE.Code.or.Value","OPDSNVE.Value.Description","OPDSNVE.Count","OPDSNVE.Cumulative","OPDSNVE.Skip.to.Item"
"0","None",3180,3180,NA
"1","Questionable",6,3186,NA
"2","< 1/2 Disc Area",5,3191,NA
"3",">= 1/2 Disc Area",0,3191,NA
".","Missing",672,3863,NA
