"OSQ180.Code.or.Value","OSQ180.Value.Description","OSQ180.Count","OSQ180.Cumulative","OSQ180.Skip.to.Item"
"3 to 97","Range of Values",232,232,NA
"777","Refused",0,232,NA
"999","Don't know",10,242,NA
".","Missing",4737,4979,NA
