"WHD080S.Code.or.Value","WHD080S.Value.Description","WHD080S.Count","WHD080S.Cumulative","WHD080S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",1237,1237,NA
".","Missing",4924,6161,NA
