"SSN2FG.Code.or.Value","SSN2FG.Value.Description","SSN2FG.Count","SSN2FG.Cumulative","SSN2FG.Skip.to.Item"
"45.5 to 279000","Range of Values",2226,2226,NA
".","Missing",753,2979,NA
