"URXHCTT.Code.or.Value","URXHCTT.Value.Description","URXHCTT.Count","URXHCTT.Cumulative","URXHCTT.Skip.to.Item"
"0.021 to 53800","Range of Values",2686,2686,NA
".","Missing",293,2979,NA
