"LBXD07LA.Code.or.Value","LBXD07LA.Value.Description","LBXD07LA.Count","LBXD07LA.Cumulative","LBXD07LA.Skip.to.Item"
"36.8 to 8190","Range of Values",1171,1171,NA
".","Missing",1376,2547,NA
