"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 14.498","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
