"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","Detectable Result",253,253,NA
"1","Below Detectable Limit",34,287,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",17,304,NA
".","Missing",547,851,NA
