"SSPFHAL.Code.or.Value","SSPFHAL.Value.Description","SSPFHAL.Count","SSPFHAL.Cumulative","SSPFHAL.Skip.to.Item"
"0","At or above the detection limit",543,543,NA
"1","Below lower detection limit",1785,2328,NA
".","Missing",0,2328,NA
