"LBCBR7.Code.or.Value","LBCBR7.Value.Description","LBCBR7.Count","LBCBR7.Cumulative","LBCBR7.Skip.to.Item"
"13.4 to 445.7","Range of Values",247,247,NA
".","Missing",0,247,NA
