"LBCBR6.Code.or.Value","LBCBR6.Value.Description","LBCBR6.Count","LBCBR6.Cumulative","LBCBR6.Skip.to.Item"
"3.98 to 226.7","Range of Values",265,265,NA
".","Missing",0,265,NA
