"DS2IMAGN.Code.or.Value","DS2IMAGN.Value.Description","DS2IMAGN.Count","DS2IMAGN.Cumulative","DS2IMAGN.Skip.to.Item"
"0.1 to 2000","Range of Values",1007,1007,NA
".","Missing",4769,5776,NA
