"LBXVBZ.Code.or.Value","LBXVBZ.Value.Description","LBXVBZ.Count","LBXVBZ.Cumulative","LBXVBZ.Skip.to.Item"
"0.017 to 1.4","Range of Values",1345,1345,NA
".","Missing",144,1489,NA
