"WHD080A.Code.or.Value","WHD080A.Value.Description","WHD080A.Count","WHD080A.Cumulative","WHD080A.Skip.to.Item"
"10","Ate less food (amount)",1756,1756,NA
"77","Refused",0,1756,NA
"99","Don't know",0,1756,NA
".","Missing",4571,6327,NA
