"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4320,4320,NA
"1","afternoon",3491,7811,NA
"2","evening",1611,9422,NA
".","Missing",0,9422,NA
