"RFXC110.Code.or.Value","RFXC110.Value.Description","RFXC110.Count","RFXC110.Cumulative","RFXC110.Skip.to.Item"
"-7.379 to 5.43","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
