"DR1TVK.Code.or.Value","DR1TVK.Value.Description","DR1TVK.Count","DR1TVK.Cumulative","DR1TVK.Skip.to.Item"
"0 to 3959.3","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
