"DR1IIRON.Code.or.Value","DR1IIRON.Value.Description","DR1IIRON.Count","DR1IIRON.Cumulative","DR1IIRON.Skip.to.Item"
"0 to 110.03","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
