"LBXD07LA.Code.or.Value","LBXD07LA.Value.Description","LBXD07LA.Count","LBXD07LA.Cumulative","LBXD07LA.Skip.to.Item"
"44.3 to 11400","Range of Values",1921,1921,NA
".","Missing",353,2274,NA
