"RDQ140.Code.or.Value","RDQ140.Value.Description","RDQ140.Count","RDQ140.Cumulative","RDQ140.Skip.to.Item"
"1","Yes",369,369,NA
"2","No",9271,9640,NA
"7","Refused",0,9640,NA
"9","Don't know",5,9645,NA
".","Missing",0,9645,NA
