"OSQ090e.Code.or.Value","OSQ090e.Value.Description","OSQ090e.Count","OSQ090e.Cumulative","OSQ090e.Skip.to.Item"
"1","Yes",9,9,"OSQ120e"
"2","No",3,12,""
"7","Refused",0,12,"OSQ120e"
"9","Don't know",0,12,"OSQ120e"
".","Missing",3803,3815,""
