"DRXTFOLA.Code.or.Value","DRXTFOLA.Value.Description","DRXTFOLA.Count","DRXTFOLA.Cumulative","DRXTFOLA.Skip.to.Item"
"0 to 4005","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
