"PFD069rQ.Code.or.Value","PFD069rQ.Value.Description","PFD069rQ.Count","PFD069rQ.Cumulative","PFD069rQ.Skip.to.Item"
"0 to 88","Range of Values",320,320,NA
"77777","Refused",0,320,NA
"99999","Don't know",0,320,NA
".","Missing",9173,9493,NA
