"CVDR3DI.Code.or.Value","CVDR3DI.Value.Description","CVDR3DI.Count","CVDR3DI.Cumulative","CVDR3DI.Skip.to.Item"
"37 to 155","Range of Values",2156,2156,NA
".","Missing",2996,5152,NA
