"DS2ISELE.Code.or.Value","DS2ISELE.Value.Description","DS2ISELE.Count","DS2ISELE.Cumulative","DS2ISELE.Skip.to.Item"
"1 to 500","Range of Values",1252,1252,NA
".","Missing",4651,5903,NA
