"WBXF041.Code.or.Value","WBXF041.Value.Description","WBXF041.Count","WBXF041.Cumulative","WBXF041.Skip.to.Item"
"1189.2071 to 1189.2071","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
