"WTSPP44.Code.or.Value","WTSPP44.Value.Description","WTSPP44.Count","WTSPP44.Cumulative","WTSPP44.Skip.to.Item"
"0 to 825437.88216","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
