"RIANSMP.Code.or.Value","RIANSMP.Value.Description","RIANSMP.Count","RIANSMP.Cumulative","RIANSMP.Skip.to.Item"
"2 to 8","Range of Values",251,251,NA
".","Missing",0,251,NA
