"URXOPM.Code.or.Value","URXOPM.Value.Description","URXOPM.Count","URXOPM.Cumulative","URXOPM.Skip.to.Item"
"0.07 to 57.62","Range of Values",2454,2454,NA
".","Missing",240,2694,NA
