"DEX6PSPL.Code.or.Value","DEX6PSPL.Value.Description","DEX6PSPL.Count","DEX6PSPL.Cumulative","DEX6PSPL.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
