"AUDTYR43.Code.or.Value","AUDTYR43.Value.Description","AUDTYR43.Count","AUDTYR43.Cumulative","AUDTYR43.Skip.to.Item"
"0 to 2.22","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
