"BAXPFC22.Code.or.Value","BAXPFC22.Value.Description","BAXPFC22.Count","BAXPFC22.Cumulative","BAXPFC22.Skip.to.Item"
"1","Pass",105,105,"BAXPFC31"
"2","Dnp(did not pass)",88,193,""
".","Missing",2893,3086,""
