"LBDBGMLC.Code.or.Value","LBDBGMLC.Value.Description","LBDBGMLC.Count","LBDBGMLC.Cumulative","LBDBGMLC.Skip.to.Item"
"0","At or above the detection limit",3595,3595,NA
"1","Below lower detection limit",1343,4938,NA
".","Missing",877,5815,NA
