"URDCB3LC.Code.or.Value","URDCB3LC.Value.Description","URDCB3LC.Count","URDCB3LC.Cumulative","URDCB3LC.Skip.to.Item"
"0","detectable result",13,13,NA
"1","below detectable limit",1685,1698,NA
".","Missing",427,2125,NA
