"URXP06.Code.or.Value","URXP06.Value.Description","URXP06.Count","URXP06.Cumulative","URXP06.Skip.to.Item"
"3.5 to 8826.3","Range of Values",2496,2496,NA
".","Missing",201,2697,NA
