"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",3761,3761,""
"2","No",4585,8346,"DRD360"
"7","Refused",19,8365,"DRD360"
"9","Don't know",47,8412,"DRD360"
".","Missing",1401,9813,""
