"LBXV2C.Code.or.Value","LBXV2C.Value.Description","LBXV2C.Count","LBXV2C.Cumulative","LBXV2C.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",3140,3140,NA
".","Missing",405,3545,NA
