"SXD171.Code.or.Value","SXD171.Value.Description","SXD171.Count","SXD171.Cumulative","SXD171.Skip.to.Item"
"0 to 1236","Range of Values",1691,1691,NA
"2000","2000 or more",4,1695,NA
"77777","Refused",11,1706,NA
"99999","Don't know",19,1725,NA
".","Missing",2900,4625,NA
