"URXVOL3.Code.or.Value","URXVOL3.Value.Description","URXVOL3.Count","URXVOL3.Cumulative","URXVOL3.Skip.to.Item"
"3 to 373","Range of Values",33,33,NA
".","Missing",7903,7936,NA
