"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.36 to 33.92","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
