"DR2TLZ.Code.or.Value","DR2TLZ.Value.Description","DR2TLZ.Count","DR2TLZ.Cumulative","DR2TLZ.Skip.to.Item"
"0 to 60721","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
