"DSQICOPP.Code.or.Value","DSQICOPP.Value.Description","DSQICOPP.Count","DSQICOPP.Cumulative","DSQICOPP.Skip.to.Item"
"0.01 to 30","Range of Values",1747,1747,NA
".","Missing",7370,9117,NA
